Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0,0.597,1254, , ,0
1,0.607,1253, , ,0
2,0.617,1254, , ,0
3,0.627,1254, , ,0
4,0.637,1255, , ,0
5,0.647,1254, , ,0
6,0.657,1254, , ,0
7,0.667,1254, , ,0
8,0.677,1254, , ,0
9,0.687,1254, , ,0
10,0.697,1253, , ,0
11,0.707,1254, , ,0
12,0.717,1252, , ,0
13,0.727,1254, , ,0
14,0.737,1254, , ,0
15,0.747,1253, , ,0
16,0.757,1254, , ,0
17,0.767,1254, , ,0
18,0.777,1254, , ,0
19,0.787,1254, , ,0
20,0.797,1254, , ,0
21,0.807,1253, , ,0
22,0.817,1254, , ,0
23,0.827,1254, , ,0
24,0.837,1253, , ,0
25,0.847,1254, , ,0
26,0.857,1253, , ,0
27,0.867,1254, , ,0
28,0.877,1254, , ,0
29,0.887,1254, , ,0
30,0.897,1254, , ,0
31,0.907,1254, , ,0
32,0.917,1254, , ,0
33,0.927,1254, , ,0
34,0.937,1254, , ,0
35,0.947,1254, , ,0
36,0.957,1254, , ,0
37,0.967,1254, , ,0
38,0.977,1254, , ,0
39,0.987,1254, , ,0
40,0.997,1254, , ,0
41,1.007,1253, , ,0
42,1.017,1255, , ,0
43,1.027,1254, , ,0
44,1.037,1254, , ,0
45,1.047,1254, , ,0
46,1.057,1254, , ,0
47,1.067,1254, , ,0
48,1.077,1254, , ,0
49,1.087,1253, , ,0
50,1.098,1253, , ,0
51,1.108,1254, , ,0
52,1.118,1254, , ,0
53,1.128,1253, , ,0
54,1.138,1254, , ,0
55,1.148,1254, , ,0
56,1.158,1254, , ,0
57,1.168,1255, , ,0
58,1.178,1254, , ,0
59,1.188,1254, , ,0
60,1.198,1254, , ,0
61,1.208,1254, , ,0
62,1.218,1253, , ,0
63,1.228,1254, , ,0
64,1.238,1254, , ,0
65,1.248,1253, , ,0
66,1.258,1254, , ,0
67,1.268,1254, , ,0
68,1.278,1254, , ,0
69,1.288,1254, , ,0
70,1.298,1254, , ,0
71,1.308,1253, , ,0
72,1.318,1254, , ,0
73,1.328,1254, , ,0
74,1.338,1254, , ,0
75,1.348,1254, , ,0
76,1.358,1253, , ,0
77,1.368,1254, , ,0
78,1.378,1253, , ,0
79,1.388,1254, , ,0
80,1.398,1253, , ,0
81,1.408,1254, , ,0
82,1.418,1254, , ,0
83,1.428,1254, , ,0
84,1.438,1254, , ,0
85,1.448,1254, , ,0
86,1.458,1254, , ,0
87,1.468,1254, , ,0
88,1.478,1254, , ,0
89,1.488,1254, , ,0
90,1.498,1254, , ,0
91,1.508,1254, , ,0
92,1.518,1254, , ,0
93,1.528,1254, , ,0
94,1.538,1254, , ,0
95,1.548,1254, , ,0
96,1.558,1254, , ,0
97,1.568,1254, , ,0
98,1.578,1254, , ,0
99,1.588,1254, , ,0
100,1.598,1254, , ,0
101,1.608,1254, , ,0
102,1.618,1253, , ,0
103,1.628,1254, , ,0
104,1.638,1254, , ,0
105,1.648,1254, , ,0
106,1.658,1254, , ,0
107,1.668,1254, , ,0
108,1.678,1253, , ,0
109,1.688,1254, , ,0
110,1.698,1254, , ,0
111,1.708,1253, , ,0
112,1.718,1254, , ,0
113,1.728,1254, , ,0
114,1.738,1254, , ,0
115,1.748,1254, , ,0
116,1.758,1254, , ,0
117,1.768,1254, , ,0
118,1.778,1254, , ,0
119,1.788,1254, , ,0
120,1.798,1254, , ,0
121,1.808,1254, , ,0
122,1.818,1254, , ,0
123,1.828,1253, , ,0
124,1.838,1254, , ,0
125,1.848,1254, , ,0
126,1.858,1254, , ,0
127,1.868,1253, , ,0
128,1.878,1254, , ,0
129,1.888,1254, , ,0
