Row, Timestamp, Series 1
265 , 94.319, -1     
266 , 94.329, -1     
267 , 94.339, -1     
268 , 94.349, -1     
269 , 94.359, -1     
270 , 94.369, -1     
271 , 94.379, -1     
272 , 94.389, -1     
273 , 94.399, -1     
274 , 94.409, -1     
275 , 94.419, -1     
276 , 94.429, -1     
277 , 94.439, -1     
278 , 94.449, -1     
279 , 94.459, -1     
280 , 94.469, -1     
281 , 94.479, -1     
282 , 94.489, -1     
283 , 94.499, -1     
284 , 94.509, -1     
285 , 94.519, -1     
286 , 94.529, -1     
287 , 94.539, -1     
288 , 94.549, -1     
289 , 94.559, -1     
290 , 94.569, -1     
291 , 94.579, -1     
292 , 94.589, -1     
293 , 94.599, -1     
294 , 94.609, -1     
295 , 94.619, -1     
296 , 94.629, -1     
297 , 94.639, -1     
298 , 94.649, -1     
299 , 94.659, -1     
300 , 94.669, -1     
301 , 94.679, -1     
302 , 94.689, -1     
303 , 94.699, -1     
304 , 94.709, -1     
305 , 94.719, -1     
306 , 94.729, -1     
307 , 94.739, -1     
308 , 94.749, -1     
309 , 94.759, -1     
310 , 94.769, -1     
311 , 94.779, -1     
312 , 94.789, -1     
313 , 94.799, -1     
314 , 94.809, -1     
315 , 94.819, -1     
316 , 94.829, -1     
317 , 94.839, -1     
318 , 94.849, -1     
319 , 94.859, -1     
320 , 94.869, -1     
321 , 94.879, -1     
322 , 94.889, -1     
323 , 94.899, -1     
324 , 94.909, -1     
325 , 94.919, -1     
326 , 94.929, -1     
327 , 94.939, -1     
328 , 94.949, -1     
329 , 94.959, -1     
330 , 94.969, -1     
331 , 94.979, -1     
332 , 94.989, -1     
333 , 94.999, -1     
334 , 95.009, -1     
335 , 95.019, -1     
336 , 95.029, -1     
337 , 95.039, -1     
338 , 95.049, -1     
339 , 95.059, -1     
340 , 95.069, -1     
341 , 95.079, -1     
342 , 95.089, -1     
343 , 95.099, -1     
344 , 95.109, -1     
345 , 95.119, -1     
346 , 95.129, -1     
347 , 95.139, -1     
348 , 95.149, -1     
349 , 95.159, -1     
350 , 95.169, -1     
351 , 95.179, -1     
352 , 95.189, -1     
353 , 95.199, -1     
354 , 95.209, -1     
355 , 95.219, -1     
356 , 95.229, -1     
357 , 95.239, -1     
358 , 95.249, -1     
359 , 95.259, -1     
360 , 95.269, -1     
361 , 95.279, -1     
362 , 95.289, -1     
363 , 95.299, -1     
