Row, Timestamp, Series 1, Series 2, Series 4, Series 5, Series 6
211,2.41, , , ,242,3063
212,2.42, , , ,242,3063
213,2.43, , , ,242,3063
214,2.44, , , ,242,3062
215,2.45, , , ,242,3064
216,2.46, , , ,242,3063
217,2.47, , , ,242,3063
218,2.48, , , ,242,3064
219,2.49, , , ,242,3064
220,2.5, , , ,242,3062
221,2.51, , , ,242,3062
222,2.52, , , ,242,3063
223,2.53, , , ,242,3064
224,2.54, , , ,242,3064
225,2.55, , , ,242,3063
226,2.56, , , ,242,3063
227,2.57, , , ,242,3064
228,2.58, , , ,242,3062
229,2.59, , , ,242,3064
230,2.6, , , ,242,3063
231,2.61, , , ,242,3062
232,2.62, , , ,242,3064
233,2.63, , , ,242,3063
234,2.64, , , ,242,3062
235,2.65, , , ,242,3062
236,2.66, , , ,242,3063
237,2.67, , , ,242,3063
238,2.68, , , ,242,3063
239,2.69, , , ,242,3063
240,2.7, , , ,242,3063
241,2.71, , , ,242,3064
242,2.72, , , ,242,3063
243,2.73, , , ,242,3063
244,2.74, , , ,242,3063
245,2.75, , , ,242,3063
246,2.76, , , ,242,3063
247,2.77, , , ,242,3063
248,2.78, , , ,242,3064
249,2.79, , , ,242,3063
250,2.8, , , ,242,3063
251,2.81, , , ,242,3064
252,2.82, , , ,242,3064
253,2.83, , , ,242,3063
254,2.84, , , ,242,3063
255,2.85, , , ,242,3063
256,2.86, , , ,242,3063
257,2.87, , , ,242,3063
258,2.88, , , ,242,3063
259,2.89, , , ,242,3061
260,2.9, , , ,242,3061
261,2.91, , , ,242,3061
262,2.92, , , ,242,3061
263,2.93, , , ,242,3059
264,2.94, , , ,242,3059
265,2.95, , , ,242,3059
266,2.96, , , ,242,3058
267,2.97, , , ,242,3059
268,2.98, , , ,242,3056
269,2.99, , , ,242,3054
270,3, , , ,242,3052
271,3.01, , , ,242,3050
272,3.02, , , ,242,3046
273,3.03, , , ,242,3044
274,3.04, , , ,242,3043
275,3.05, , , ,242,3040
276,3.06, , , ,242,3037
277,3.07, , , ,242,3031
278,3.08, , , ,242,3026
279,3.09, , , ,242,3020
280,3.1, , , ,242,3010
281,3.11, , , ,242,3000
282,3.12, , , ,242,2988
283,3.13, , , ,242,2974
284,3.14, , , ,242,2956
285,3.15, , , ,242,2934
286,3.16, , , ,242,2906
287,3.17, , , ,242,2867
288,3.18, , , ,242,2803
289,3.19, , , ,242,2693
290,3.2, , , ,242,2467
291,3.21, , , ,242,1901
292,3.22, , , ,242,1085
293,3.23, , , ,242,1171
294,3.24, , , ,242,686
295,3.25, , , ,242,508
296,3.26, , , ,242,276
297,3.27, , , ,242,218
298,3.28, , , ,242,253
299,3.29, , , ,242,294
300,3.3, , , ,242,340
301,3.31, , , ,242,359
302,3.32, , , ,242,343
303,3.33, , , ,242,294
304,3.34, , , ,242,248
305,3.35, , , ,242,228
306,3.36, , , ,242,229
307,3.37, , , ,242,234
308,3.38, , , ,242,230
309,3.39, , , ,242,223
310,3.4, , , ,242,224
311,3.41, , , ,242,222
312,3.42, , , ,242,223
313,3.43, , , ,242,223
314,3.44, , , ,242,224
315,3.45, , , ,242,224
316,3.46, , , ,242,224
317,3.47, , , ,242,225
318,3.48, , , ,242,225
319,3.49, , , ,242,224
320,3.5, , , ,242,225
321,3.51, , , ,242,225
322,3.52, , , ,242,224
323,3.53, , , ,242,225
324,3.54, , , ,242,225
325,3.55, , , ,242,224
326,3.56, , , ,242,225
327,3.57, , , ,242,225
328,3.58, , , ,242,225
329,3.59, , , ,242,225
330,3.6, , , ,242,225
331,3.61, , , ,242,224
332,3.62, , , ,242,225
333,3.63, , , ,242,224
334,3.64, , , ,242,224
335,3.65, , , ,242,224
336,3.66, , , ,242,225
337,3.67, , , ,242,225
338,3.68, , , ,242,224
339,3.69, , , ,242,224
340,3.7, , , ,242,225
341,3.71, , , ,242,224
342,3.72, , , ,242,225
343,3.73, , , ,242,225
344,3.74, , , ,242,224
345,3.75, , , ,242,225
346,3.76, , , ,242,224
347,3.77, , , ,242,224
348,3.78, , , ,242,224
349,3.79, , , ,242,225
350,3.8, , , ,242,225
351,3.81, , , ,242,225
352,3.82, , , ,242,225
353,3.83, , , ,242,224
354,3.84, , , ,242,224
355,3.85, , , ,242,224
356,3.86, , , ,242,224
357,3.87, , , ,242,224
358,3.88, , , ,242,225
359,3.89, , , ,242,225
360,3.9, , , ,242,225
361,3.91, , , ,242,225
362,3.92, , , ,242,225
363,3.93, , , ,242,225
364,3.94, , , ,242,224
365,3.95, , , ,242,225
366,3.96, , , ,242,224
367,3.97, , , ,242,224
368,3.98, , , ,242,224
369,3.99, , , ,242,224
370,4, , , ,242,225
371,4.01, , , ,242,224
372,4.02, , , ,242,225
373,4.03, , , ,242,224
374,4.04, , , ,242,225
375,4.05, , , ,242,224
376,4.06, , , ,242,225
377,4.07, , , ,242,224
378,4.08, , , ,242,224
379,4.09, , , ,242,224
380,4.1, , , ,242,225
381,4.11, , , ,242,225
382,4.12, , , ,242,224
383,4.13, , , ,242,225
384,4.14, , , ,242,225
385,4.15, , , ,242,225
386,4.16, , , ,242,225
387,4.17, , , ,242,225
388,4.18, , , ,242,225
389,4.19, , , ,242,224
390,4.2, , , ,242,225
391,4.21, , , ,242,224
392,4.22, , , ,242,224
393,4.23, , , ,242,224
394,4.24, , , ,242,224
395,4.25, , , ,242,224
396,4.26, , , ,242,224
397,4.27, , , ,242,224
398,4.28, , , ,242,225
399,4.29, , , ,242,224
400,4.3, , , ,242,225
401,4.31, , , ,242,224
402,4.32, , , ,242,224
403,4.33, , , ,242,225
404,4.34, , , ,242,225
405,4.35, , , ,242,224
406,4.36, , , ,242,224
407,4.37, , , ,242,225
408,4.38, , , ,242,225
409,4.39, , , ,242,223
410,4.4, , , ,242,225
411,4.41, , , ,242,224
412,4.42, , , ,242,224
413,4.43, , , ,242,225
414,4.44, , , ,242,224
415,4.45, , , ,242,224
416,4.46, , , ,242,224
417,4.47, , , ,242,225
418,4.48, , , ,242,225
419,4.49, , , ,242,224
420,4.5, , , ,242,224
421,4.51, , , ,242,224
422,4.52, , , ,242,225
423,4.53, , , ,242,224
424,4.54, , , ,242,224
425,4.55, , , ,242,224
426,4.56, , , ,242,224
427,4.57, , , ,242,224
428,4.58, , , ,242,225
429,4.59, , , ,242,224
430,4.6, , , ,242,225
431,4.61, , , ,242,225
432,4.62, , , ,242,225
433,4.63, , , ,242,225
434,4.64, , , ,242,224
435,4.65, , , ,242,225
436,4.66, , , ,242,225
437,4.67, , , ,242,224
438,4.68, , , ,242,224
439,4.69, , , ,242,224
440,4.7, , , ,242,224
441,4.71, , , ,242,224
442,4.72, , , ,242,225
443,4.73, , , ,242,224
444,4.74, , , ,242,224
445,4.75, , , ,242,224
446,4.76, , , ,242,224
447,4.77, , , ,242,224
448,4.78, , , ,242,224
449,4.79, , , ,242,225
450,4.8, , , ,242,225
451,4.81, , , ,242,225
452,4.82, , , ,242,224
453,4.83, , , ,242,224
454,4.84, , , ,242,225
455,4.85, , , ,242,225
456,4.86, , , ,242,224
457,4.87, , , ,242,224
458,4.88, , , ,242,225
459,4.89, , , ,242,224
460,4.9, , , ,242,224
461,4.91, , , ,242,225
462,4.92, , , ,242,224
463,4.93, , , ,242,224
464,4.94, , , ,242,225
465,4.95, , , ,242,224
466,4.96, , , ,242,225
467,4.97, , , ,242,224
468,4.98, , , ,242,225
469,4.99, , , ,242,224
470,5, , , ,242,224
471,5.01, , , ,242,225
472,5.02, , , ,242,225
473,5.03, , , ,242,224
474,5.04, , , ,242,224
475,5.05, , , ,242,225
476,5.06, , , ,242,224
477,5.07, , , ,242,225
478,5.08, , , ,242,224
479,5.09, , , ,242,224
480,5.1, , , ,242,224
481,5.11, , , ,242,225
482,5.12, , , ,242,225
483,5.13, , , ,242,224
484,5.14, , , ,242,225
485,5.15, , , ,242,224
486,5.16, , , ,242,224
487,5.17, , , ,242,224
488,5.18, , , ,242,224
489,5.19, , , ,242,225
490,5.2, , , ,242,223
491,5.21, , , ,242,224
492,5.22, , , ,242,225
493,5.23, , , ,242,225
494,5.24, , , ,242,225
495,5.25, , , ,242,224
496,5.26, , , ,242,225
497,5.27, , , ,242,225
498,5.28, , , ,242,224
499,5.29, , , ,242,224
500,5.3, , , ,242,224
501,5.31, , , ,242,224
502,5.32, , , ,242,225
503,5.33, , , ,242,224
504,5.34, , , ,242,224
505,5.35, , , ,242,224
506,5.36, , , ,242,224
507,5.37, , , ,242,225
508,5.38, , , ,242,224
509,5.39, , , ,242,224
510,5.4, , , ,242,224
511,5.41, , , ,242,225
512,5.42, , , ,242,225
513,5.43, , , ,242,224
514,5.44, , , ,242,224
515,5.45, , , ,242,225
516,5.46, , , ,242,224
517,5.47, , , ,242,225
518,5.48, , , ,242,224
519,5.49, , , ,242,225
520,5.5, , , ,242,225
521,5.51, , , ,242,224
522,5.52, , , ,242,224
523,5.53, , , ,242,225
524,5.54, , , ,242,225
525,5.55, , , ,242,224
526,5.56, , , ,242,225
527,5.57, , , ,242,225
528,5.58, , , ,242,224
529,5.59, , , ,242,224
530,5.6, , , ,242,224
531,5.61, , , ,242,224
532,5.62, , , ,242,225
533,5.63, , , ,242,224
534,5.64, , , ,242,224
535,5.65, , , ,242,224
536,5.66, , , ,242,224
537,5.67, , , ,242,224
538,5.68, , , ,242,225
539,5.69, , , ,242,224
540,5.7, , , ,242,225
541,5.71, , , ,242,224
542,5.72, , , ,242,224
543,5.73, , , ,242,225
544,5.74, , , ,242,224
545,5.75, , , ,242,224
546,5.76, , , ,242,225
547,5.77, , , ,242,224
548,5.78, , , ,242,225
549,5.79, , , ,242,224
550,5.8, , , ,242,225
551,5.81, , , ,242,224
552,5.82, , , ,242,224
553,5.83, , , ,242,224
554,5.84, , , ,242,224
555,5.85, , , ,242,224
556,5.86, , , ,242,224
557,5.87, , , ,242,224
558,5.88, , , ,242,224
559,5.89, , , ,242,224
560,5.9, , , ,242,224
561,5.91, , , ,242,224
562,5.92, , , ,242,225
563,5.93, , , ,242,224
564,5.94, , , ,242,224
565,5.95, , , ,242,225
566,5.96, , , ,242,224
567,5.97, , , ,242,224
568,5.98, , , ,242,224
569,5.99, , , ,242,224
570,6, , , ,242,225
571,6.01, , , ,242,224
572,6.02, , , ,242,225
573,6.03, , , ,242,224
574,6.04, , , ,242,224
575,6.05, , , ,242,225
576,6.06, , , ,242,225
577,6.07, , , ,242,224
578,6.08, , , ,242,224
579,6.09, , , ,242,225
580,6.1, , , ,242,224
581,6.11, , , ,242,224
582,6.12, , , ,242,224
583,6.13, , , ,242,224
584,6.14, , , ,242,225
585,6.15, , , ,242,224
586,6.16, , , ,242,224
587,6.17, , , ,242,225
588,6.18, , , ,242,224
589,6.19, , , ,242,224
590,6.2, , , ,242,225
591,6.21, , , ,242,224
592,6.22, , , ,242,224
593,6.23, , , ,242,224
594,6.24, , , ,242,225
595,6.25, , , ,242,224
596,6.26, , , ,242,225
597,6.27, , , ,242,224
598,6.28, , , ,242,224
599,6.29, , , ,242,224
600,6.3, , , ,242,225
601,6.31, , , ,242,224
602,6.32, , , ,242,224
603,6.33, , , ,242,224
604,6.34, , , ,242,225
605,6.35, , , ,242,224
606,6.36, , , ,242,224
607,6.37, , , ,242,224
608,6.38, , , ,242,224
609,6.39, , , ,242,225
610,6.4, , , ,242,224
611,6.41, , , ,242,225
612,6.42, , , ,242,225
613,6.43, , , ,242,224
614,6.44, , , ,242,225
615,6.45, , , ,242,224
616,6.46, , , ,242,225
617,6.47, , , ,242,224
618,6.48, , , ,242,224
619,6.49, , , ,242,225
620,6.5, , , ,242,224
621,6.51, , , ,242,224
622,6.52, , , ,242,224
623,6.53, , , ,242,224
624,6.54, , , ,242,224
625,6.55, , , ,242,225
626,6.56, , , ,242,224
627,6.57, , , ,242,224
628,6.58, , , ,242,224
629,6.59, , , ,242,225
630,6.6, , , ,242,224
631,6.61, , , ,242,224
632,6.62, , , ,242,224
633,6.63, , , ,242,224
634,6.64, , , ,242,225
635,6.65, , , ,242,224
636,6.66, , , ,242,224
637,6.67, , , ,242,225
638,6.68, , , ,242,224
639,6.69, , , ,242,224
640,6.7, , , ,242,224
641,6.71, , , ,242,225
642,6.72, , , ,242,224
643,6.73, , , ,242,224
644,6.74, , , ,242,224
645,6.75, , , ,242,224
646,6.76, , , ,242,224
647,6.77, , , ,242,224
648,6.78, , , ,242,224
649,6.79, , , ,242,224
650,6.8, , , ,242,224
651,6.81, , , ,242,224
652,6.82, , , ,242,224
653,6.83, , , ,242,224
654,6.84, , , ,242,224
655,6.85, , , ,242,224
656,6.86, , , ,242,224
657,6.87, , , ,242,224
658,6.88, , , ,242,224
659,6.89, , , ,242,224
660,6.9, , , ,242,225
661,6.91, , , ,242,224
662,6.92, , , ,242,224
663,6.93, , , ,242,224
664,6.94, , , ,242,224
665,6.95, , , ,242,224
666,6.96, , , ,242,224
667,6.97, , , ,242,224
668,6.98, , , ,242,224
669,6.99, , , ,242,224
670,7, , , ,242,224
671,7.01, , , ,242,224
672,7.02, , , ,242,224
673,7.03, , , ,242,224
674,7.04, , , ,242,224
675,7.05, , , ,242,224
676,7.06, , , ,242,225
677,7.07, , , ,242,224
678,7.08, , , ,242,224
679,7.09, , , ,242,224
680,7.1, , , ,242,224
681,7.11, , , ,242,224
682,7.12, , , ,242,224
683,7.13, , , ,242,224
684,7.14, , , ,242,224
685,7.15, , , ,242,224
686,7.16, , , ,242,224
687,7.17, , , ,242,224
688,7.18, , , ,242,224
689,7.19, , , ,242,224
690,7.2, , , ,242,224
691,7.21, , , ,242,224
692,7.22, , , ,242,225
693,7.23, , , ,242,224
694,7.24, , , ,242,224
695,7.25, , , ,242,224
696,7.26, , , ,242,224
697,7.27, , , ,242,224
698,7.28, , , ,242,224
699,7.29, , , ,242,225
700,7.3, , , ,242,224
701,7.31, , , ,242,224
702,7.32, , , ,242,224
703,7.33, , , ,242,224
704,7.34, , , ,242,224
705,7.35, , , ,242,224
706,7.36, , , ,242,224
707,7.37, , , ,242,224
708,7.38, , , ,242,224
709,7.39, , , ,242,224
710,7.4, , , ,242,224
711,7.41, , , ,242,224
712,7.42, , , ,242,224
713,7.43, , , ,242,224
714,7.44, , , ,242,224
715,7.45, , , ,242,225
716,7.46, , , ,242,224
717,7.47, , , ,242,224
718,7.48, , , ,242,225
719,7.49, , , ,242,225
720,7.5, , , ,242,224
721,7.51, , , ,242,224
722,7.52, , , ,242,224
723,7.53, , , ,242,225
724,7.54, , , ,242,224
725,7.55, , , ,242,224
726,7.56, , , ,242,224
727,7.57, , , ,242,224
