Row, Timestamp, Series 4
278 , 3.391, 
279 , 3.402, 
280 , 3.412, 
281 , 3.422, 
282 , 3.434, 
283 , 3.444, 
284 , 3.454, 
285 , 3.466, 
286 , 3.477, 
287 , 3.487, 
288 , 3.497, 
289 , 3.511, 
290 , 3.522, 
291 , 3.532, 
292 , 3.542, 
293 , 3.552, 
294 , 3.562, 
295 , 3.572, 
296 , 3.586, 
297 , 3.597, 
298 , 3.607, 
299 , 3.617, 
300 , 3.631, 
301 , 3.642, 
302 , 3.652, 
303 , 3.662, 
304 , 3.676, 
305 , 3.687, 
306 , 3.697, 
307 , 3.707, 
308 , 3.721, 
309 , 3.732, 
310 , 3.742, 
311 , 3.752, 
312 , 3.766, 
313 , 3.777, 
314 , 3.787, 
315 , 3.797, 
316 , 3.811, 
317 , 3.822, 
318 , 3.832, 
319 , 3.842, 
320 , 3.856, 
321 , 3.867, 
322 , 3.877, 
323 , 3.887, 
324 , 3.897, 
325 , 3.907, 
326 , 3.917, 
327 , 3.927, 
328 , 3.937, 
329 , 3.947, 
330 , 3.961, 
331 , 3.972, 
332 , 3.982, 
333 , 3.992, 
334 , 4.002, 
335 , 4.012, 
336 , 4.022, 
337 , 4.036, 
338 , 4.047, 
339 , 4.057, 
340 , 4.067, 
341 , 4.081, 
342 , 4.092, 
343 , 4.102, 
344 , 4.112, 
345 , 4.122, 
346 , 4.132, 
347 , 4.142, 
348 , 4.152, 
349 , 4.162, 
350 , 4.172, 
351 , 4.186, 
352 , 4.197, 
353 , 4.207, 
354 , 4.217, 
355 , 4.231, 
356 , 4.242, 
357 , 4.252, 
358 , 4.262, 
359 , 4.272, 
360 , 4.282, 
361 , 4.292, 
362 , 4.306, 
363 , 4.317, 
364 , 4.327, 
365 , 4.337, 
366 , 4.347, 
367 , 4.357, 
368 , 4.367, 
369 , 4.381, 
370 , 4.392, 
371 , 4.402, 
372 , 4.412, 
373 , 4.426, 
374 , 4.437, 
375 , 4.447, 
376 , 4.457, 
377 , 4.471, 
378 , 4.482, 
379 , 4.492, 
380 , 4.502, 
381 , 4.516, 
382 , 4.527, 
383 , 4.537, 
384 , 4.547, 
385 , 4.561, 
386 , 4.572, 
387 , 4.582, 
388 , 4.592, 
389 , 4.604, 
390 , 4.614, 
391 , 4.624, 
392 , 4.636, 
393 , 4.647, 
394 , 4.657, 
395 , 4.667, 
396 , 4.681, 
397 , 4.692, 
398 , 4.702, 
399 , 4.712, 
400 , 4.726, 
401 , 4.737, 
402 , 4.747, 
403 , 4.757, 
404 , 4.771, 
405 , 4.782, 
406 , 4.792, 
407 , 4.802, 
408 , 4.816, 
409 , 4.827, 
410 , 4.837, 
411 , 4.847, 
412 , 4.861, 
413 , 4.872, 
414 , 4.882, 
415 , 4.892, 
416 , 4.902, 
417 , 4.912, 
418 , 4.922, 
419 , 4.936, 
420 , 4.947, 
421 , 4.957, 
422 , 4.967, 
423 , 4.977, 
424 , 4.987, 
425 , 4.997, 
426 , 5.011, 
427 , 5.022, 
428 , 5.032, 
429 , 5.042, 
430 , 5.056, 
431 , 5.071, 
432 , 5.082, 
433 , 5.092, 
434 , 5.102, 
435 , 5.112, 
436 , 5.122, 
437 , 5.132, 
438 , 5.146, 
439 , 5.157, 
440 , 5.167, 
441 , 5.177, 
442 , 5.191, 
443 , 5.202, 
444 , 5.212, 
445 , 5.222, 
446 , 5.236, 
447 , 5.247, 
448 , 5.257, 
449 , 5.267, 
450 , 5.281, 
451 , 5.292, 
452 , 5.302, 
453 , 5.312, 
454 , 5.326, 
455 , 5.337, 
456 , 5.347, 
457 , 5.357, 
458 , 5.371, 
459 , 5.382, 
460 , 5.392, 
461 , 5.402, 
462 , 5.416, 
463 , 5.427, 
464 , 5.437, 
465 , 5.447, 
466 , 5.461, 
467 , 5.472, 
468 , 5.482, 
469 , 5.492, 
470 , 5.506, 
471 , 5.517, 
472 , 5.527, 
473 , 5.537, 
474 , 5.551, 
475 , 5.562, 
476 , 5.572, 
477 , 5.582, 
478 , 5.596, 
479 , 5.607, 
480 , 5.617, 
481 , 5.627, 
482 , 5.641, 
483 , 5.652, 
484 , 5.662, 
